Cell	CellType	Age
GSM2657511	Unknown	27
GSM2657512	Unknown	27
GSM2657513	Unknown	27
GSM2657514	Unknown	27
GSM2657515	Unknown	27
GSM2657516	Unknown	27
GSM2657517	Cacna2d1.Lhx6.Reln	27
GSM2657518	Unknown	27
GSM2657519	Unknown	27
GSM2657520	Unknown	27
GSM2657521	Unknown	27
GSM2657522	Unknown	27
GSM2657523	Pvalb.C1ql1.Npy	27
GSM2657524	Unknown	27
GSM2657525	Unknown	27
GSM2657526	Unknown	27
GSM2657527	Unknown	27
GSM2657528	Unknown	27
GSM2657529	Unknown	27
GSM2657530	Unknown	27
GSM2657531	Unknown	27
GSM2657532	Cacna2d1.Lhx6.Vwa5a	27
GSM2657533	Unknown	27
GSM2657534	Unknown	27
GSM2657535	Unknown	27
GSM2657536	Calb2.Cntnap5a.Vip	27
GSM2657537	Unknown	27
GSM2657538	Unknown	27
GSM2657539	Unknown	27
GSM2657540	Unknown	27
GSM2657541	Unknown	27
GSM2657542	Unknown	27
GSM2657543	Unknown	27
GSM2657544	Unknown	27
GSM2657545	Unknown	27
GSM2657546	Unknown	27
GSM2657547	Unknown	27
GSM2657548	Sst.Npy.Zbtb20	27
GSM2657549	Unknown	27
GSM2657550	Unknown	27
GSM2657551	Unknown	27
GSM2657552	Unknown	27
GSM2657553	Unknown	27
GSM2657554	Unknown	27
GSM2657555	Unknown	27
GSM2657556	Unknown	27
GSM2657557	Unknown	27
GSM2657558	Unknown	27
GSM2657559	Unknown	27
