Cell	CellType
697810063	Vip Rspo4 Rxfp1 Chat
697810231	Pvalb Sema3e Kank4
697810707	Vip Ptprt Pkp2
697810838	Vip Crispld2 Kcne4
697811314	Vip Lmo1 Myl1
697987610	Pvalb Vipr2
698042345	Pvalb Sema3e Kank4
698077857	Pvalb Gpr149 Islr
698086962	Pvalb Reln Itm2a
698504012	Pvalb Sema3e Kank4
698509705	Pvalb Vipr2
698570301	Pvalb Reln Itm2a
698586385	Pvalb Sema3e Kank4
698636803	Pvalb Reln Itm2a
698725237	Pvalb Sema3e Kank4
699448311	Pvalb Tpbg
699788826	Pvalb Sema3e Kank4
699805220	Pvalb Akr1c18 Ntf3
700105125	Sst Rxfp1 Eya1
700161354	Lamp5 Plch2 Dock5
700162028	Sst Calb2 Pdlim5
700193566	Lamp5 Ntn1 Npy2r
700193920	Sst Calb2 Pdlim5
700341530	Vip Ptprt Pkp2
700357513	Vip Crispld2 Kcne4
700390241	Vip Ptprt Pkp2
700413526	Vip Lmo1 Fam159b
700470340	Vip Ptprt Pkp2
700658027	Sst Chodl
700661679	Sst Chodl
700729949	Sst Chodl
701072703	Sst Chodl
701073003	Sst Chodl
701073396	Sst Chodl
701075567	Sst Chodl
701077452	Sst Chodl
701148434	Lamp5 Lsp1
701152294	Lamp5 Lsp1
701155312	Lamp5 Lsp1
701239541	Sst Rxfp1 Eya1
701605755	Sst Chodl
701630221	Sst Chodl
701684250	Lamp5 Lsp1
701750976	Sncg Vip Itih5
701751335	Lamp5 Ntn1 Npy2r
702051128	Sst Esm1
702082762	Sst Crhr2 Efemp1
702100037	Sst Crhr2 Efemp1
702124545	Sst Chodl
703141516	Sst Chodl
703154406	Sst Calb2 Pdlim5
703158517	Sst Esm1
703165931	Sst Calb2 Pdlim5
703169690	Pvalb Th Sst
703213182	Pvalb Gpr149 Islr
703231431	Pvalb Th Sst
703232472	Sst Rxfp1 Prdm8
703238991	Sst Myh8 Etv1 
703270805	Sst Rxfp1 Prdm8
703271595	Pvalb Gabrg1
703271625	Vip Ptprt Pkp2
703274690	Sst Calb2 Pdlim5
703276947	Vip Arhgap36 Hmcn1
703283610	Sst Crh 4930553C11Rik 
703288237	Vip Lect1 Oxtr
703443928	Pvalb Calb1 Sst
703512183	Sst Hpse Cbln4
703565379	Pvalb Th Sst
703570927	Sst Rxfp1 Eya1
